id,game_title
1,Brass: Birmingham
2,Pandemic Legacy: Season 1
3,Ark Nova
4,Gloomhaven
5,Dune: Imperium
6,Twilight Imperium: Fourth Edition
7,Terraforming Mars
8,War of the Ring: Second Edition
9,Dune: Imperium – Uprising
10,Star Wars: Rebellion
11,Spirit Island
12,Gloomhaven: Jaws of the Lion
13,Gaia Project
14,Twilight Struggle
15,Through the Ages: A New Story of Civilization
16,The Castles of Burgundy
17,Great Western Trail
18,Eclipse: Second Dawn for the Galaxy
19,Brass: Lancashire
20,Frosthaven
21,7 Wonders Duel
22,Scythe
23,Nemesis
24,A Feast for Odin
25,Clank! Legacy: Acquisitions Incorporated
26,Concordia
27,Great Western Trail: Second Edition
28,Lost Ruins of Arnak
29,Arkham Horror: The Card Game
30,The Lord of the Rings: Duel for Middle-earth
31,Slay the Spire: The Board Game
32,SETI: Search for Extraterrestrial Intelligence
33,Root
34,Sky Team
35,Too Many Bones
36,Terra Mystica
37,Orléans
38,Wingspan
39,Barrage
40,Mage Knight Board Game
41,Everdell
42,Viticulture Essential Edition
43,The Crew: Mission Deep Sea
44,Hegemony: Lead Your Class to Victory
45,Heat: Pedal to the Metal
46,Marvel Champions: The Card Game
47,Crokinole
48,Kanban EV
49,Food Chain Magnate
50,Underwater Cities
51,Pax Pamir: Second Edition
52,Puerto Rico
53,Cthulhu: Death May Die
54,Cascadia
55,Pandemic Legacy: Season 0
56,On Mars
57,Caverna: The Cave Farmers
58,Anachrony
59,Age of Innovation
60,Blood Rage
61,Agricola
62,Oathsworn: Into the Deepwood
63,Clank!: Catacombs
64,Lisboa
65,Sleeping Gods
66,Grand Austria Hotel
67,Obsession
68,Pandemic Legacy: Season 2
69,Harmonies
70,Mansions of Madness: Second Edition
71,Power Grid
72,Tzolk'in: The Mayan Calendar
73,Ticket to Ride Legacy: Legends of the West
74,Quacks
75,Clans of Caledonia
76,Paladins of the West Kingdom
77,Le Havre
78,The Gallerist
79,The White Castle
80,Star Wars: Imperial Assault
81,Android: Netrunner
82,Maracaibo
83,Agricola (Revised Edition)
84,Blood on the Clocktower
